baryon_density,pressurec2,energy_densityc2,cs2c2
6.690487711526220238e+00,1.123601971415998474e-13,7.757621265532460342e+00,1.694599786401313616e-11
7.911501883089411713e+00,1.123601947546393576e-12,7.817295635759561989e+00,1.355688093299077080e-10
7.961680189549807274e+00,1.123601947546393697e-11,7.857078290656912323e+00,3.304493268552458866e-10
8.212573846081630435e+00,1.123602009209539550e-10,8.105719630150792554e+00,3.831340531723569162e-10
1.169162734702031514e+01,1.346106455596051920e-09,1.153697608654582041e+01,1.670024222253632248e-09
1.655895697772512420e+01,1.557471780889604116e-08,1.631089712086220800e+01,4.530247200535044493e-09
4.549531615737780754e+01,1.891228634464243720e-07,4.485496701772422767e+01,2.197302986422160845e-08
2.124229843098999879e+02,6.474630401424069878e-06,2.108481743909045178e+02,1.287464641341279014e-07
1.159127024903916436e+03,2.113653630870935738e-04,1.143751910120404318e+03,6.849845615398285081e-07
1.052915519367991146e+04,1.083998316674727319e-02,1.038327851767391439e+04,1.990595767560679107e-06
2.644415110833727158e+04,5.526808095018265199e-02,2.607754312507059876e+04,4.143671765248260053e-06
6.643654548555907968e+04,2.704426112786880720e-01,6.551211791804905079e+04,7.829924853325312783e-06
1.668607612684278574e+05,1.280465054129521496e+00,1.645013618425254826e+05,1.430019845582152445e-05
4.191590758233050583e+05,5.858396570033942652e+00,4.133419990109872306e+05,2.514186984719485166e-05
1.052748200306475628e+06,2.578712920128643660e+01,1.038327768223774154e+06,4.230203002230377809e-05
2.644415261369700078e+06,1.085231603462781464e+02,2.607754392072409391e+06,6.775353783709823564e-05
6.643654381293714978e+06,4.350832347612719104e+02,6.552206657044683583e+06,8.561772795016746112e-05
8.363109568321341649e+06,5.850638948450149428e+02,8.247943010781746358e+06,1.057997232062395045e-04
1.668607560832999088e+07,1.596419099073077859e+03,1.646008091805686243e+07,1.430055048647753966e-04
3.328517611436780915e+07,4.264105977334020281e+03,3.284059803806066886e+07,1.873823992262735837e-04
6.643654230757742375e+07,1.119166173340053683e+04,6.553201283588412404e+07,2.421768738166593909e-04
1.325385662518537641e+08,2.896974318438135379e+04,1.307855487384678274e+08,3.102032753075953495e-04
2.644415161012384295e+08,7.427027238038476207e+04,2.609743366681144536e+08,3.435683461209632040e-04
3.328517611436780691e+08,9.720896505050185078e+04,3.286049056893525720e+08,3.880931563785881919e-04
5.277121985285088420e+08,1.812240062062492070e+05,5.208546418230050206e+08,4.740630575570224528e-04
8.363109601773780584e+08,3.369791567432372831e+05,8.255899466174132824e+08,5.418307490214391460e-04
1.052748248812511444e+09,4.593506425127657130e+05,1.039322354984828830e+09,4.734313508756097231e-04
1.325385590595795155e+09,5.602395216899445513e+05,1.308849976678179502e+09,4.863376078663267615e-04
1.668607555815133095e+09,7.631709636892378330e+05,1.647997285219132662e+09,6.373935299326556874e-04
2.644415244643480778e+09,1.415069770081449533e+06,2.611732679442615986e+09,7.324279186840406373e-04
4.191590708054392338e+09,2.621081448887257371e+06,4.141376266480222702e+09,8.545743193362281224e-04
6.643653996590672493e+09,4.852690571267287247e+06,6.565136105916356087e+09,8.852588341572154018e-04
8.363109401059149742e+09,6.298790919184063561e+06,8.266839801197708130e+09,9.560895421752636965e-04
1.052748210342207336e+10,8.568392197617227212e+06,1.040316943735016823e+10,1.102405034907205910e-03
1.325385590595794868e+10,1.165890990520779602e+07,1.310839154178556061e+10,1.189512448775137052e-03
1.668607631083120155e+10,1.585279999860589392e+07,1.649986484599980354e+10,1.284029934470388122e-03
2.100813136167200089e+10,2.156022020390187576e+07,2.078644757708867264e+10,1.249834362444912205e-03
2.644415127559946060e+10,2.784588301942770928e+07,2.616705394443176651e+10,1.322959893987713572e-03
3.328517728520315552e+10,3.786912872809076309e+07,3.295000039372955704e+10,1.535713184023610334e-03
4.191590641149515533e+10,5.148474977125881612e+07,4.149332960568660736e+10,1.479758864306179649e-03
5.277122185999719238e+10,6.618245718171866238e+07,5.225454234037279510e+10,1.560964815210906997e-03
6.643653996590673065e+10,8.998840878070177138e+07,6.581049255397180176e+10,1.827392075874610580e-03
8.363109401059149170e+10,1.223734900206842571e+08,8.286731496636125183e+10,1.973008719079280548e-03
1.052748272229218445e+11,1.663154488291889727e+08,1.043300680148575897e+11,2.125804191413712373e-03
1.325385652482806396e+11,2.261645081628162563e+08,1.314817403755221100e+11,2.024639515848727835e-03
1.668607631083119812e+11,2.889216875876378417e+08,1.654959267231089172e+11,1.838625622834160096e-03
1.848247175509842224e+11,3.217224830595724583e+08,1.833981248084433289e+11,1.799443823372188535e-03
2.100813069262322998e+11,3.660006000993803740e+08,2.084612198709844971e+11,2.099693500517699467e-03
2.644415194464823303e+11,4.976215796377495527e+08,2.625656476379294128e+11,2.312856658575432756e-03
3.328517661615438843e+11,6.470254167957953215e+08,3.306934921374911499e+11,2.238590447141597991e-03
4.301983721566153564e+11,8.682966340791319609e+08,4.275643092262100830e+11,1.437125918100369635e-03
4.465900469374122925e+11,8.777450312762473822e+08,4.435768258829877319e+11,6.314902313683786253e-04
5.228616033128884277e+11,9.291442948424401283e+08,5.199595674446669922e+11,6.383396818578257643e-04
6.608529404527111816e+11,1.012130876875424385e+09,6.574087028721774902e+11,6.046878348361700486e-04
7.960007500721230469e+11,1.093685433790179729e+09,7.920730570318811035e+11,6.195300514489674544e-04
9.721278653996839600e+11,1.204818286084032059e+09,9.675146170455809326e+11,6.549848961741504619e-04
1.194753883587079834e+12,1.354997873465654612e+09,1.189501948333852539e+12,7.063707374945964266e-04
1.469565615472332520e+12,1.556357931636934519e+09,1.463007883256148193e+12,1.205530675525284595e-03
6.690487711526218750e+12,1.033735845029755211e+10,6.705887328666752930e+12,1.614694619868085098e-03
1.338097540632621680e+13,2.078039364855270767e+10,1.342362635376248047e+13,1.995696497660512121e-03
2.007146308440000000e+13,3.716869128506964874e+10,2.014883254713336719e+13,2.716044081871094897e-03
2.676195077920000000e+13,5.733103502312812805e+10,2.688029146306614062e+13,3.215574740446237867e-03
3.345243847400000000e+13,8.047850120313504028e+10,3.361721950221549219e+13,3.629999303421437788e-03
4.014292616880000000e+13,1.062599359123522034e+11,4.035906706692921094e+13,4.004222971188267817e-03
4.683341386360000000e+13,1.344891192348810577e+11,4.710543056197157031e+13,4.357204528082400663e-03
5.352390155840000000e+13,1.650695785821857910e+11,5.385600405857343750e+13,4.699760840599359092e-03
6.021438925319999219e+13,1.979606290084134521e+11,6.061055084981982812e+13,5.038787931296371050e-03
6.690487694800000000e+13,2.331587579022936096e+11,6.736888435496597656e+13,5.378954314024281431e-03
7.359536464279998438e+13,2.706863597271183472e+11,7.413085698028840625e+13,5.723549593355459902e-03
8.028585233760000000e+13,3.105844957728439941e+11,8.089635096906978125e+13,6.074962888760802524e-03
8.697634003240000000e+13,3.529080402719404297e+11,8.766527243419759375e+13,6.434973119601637703e-03
9.366682772720000000e+13,3.977223342786141357e+11,9.443754618641642188e+13,6.804933894346074617e-03
1.003573154220000000e+14,4.451008185996589355e+11,1.012131131484542656e+14,7.185895662942169346e-03
1.070478031168000000e+14,4.951233310959744873e+11,1.079919273713217812e+14,7.578690142679126232e-03
1.137382908116000156e+14,5.478748674522467651e+11,1.147739536473516875e+14,7.983988965597679094e-03
1.204287785063999844e+14,6.034446681645617676e+11,1.215591657199787031e+14,8.402344628442526275e-03
1.271192662012000000e+14,6.619255422349339600e+11,1.283475460848258750e+14,8.781323269134250209e-03
1.338097538960000000e+14,7.226948390854434814e+11,1.351390832049175312e+14,8.947797203483355555e-03
